Building,Abbreviation,RoomType,BuildingType,Gender,TimeStamp,BedsAvailable
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Male,2025-02-18T09:00:00Z,4
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Male,2025-02-18T10:00:00Z,4
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Male,2025-02-18T11:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Male,2025-02-18T12:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Male,2025-02-18T13:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Male,2025-02-18T14:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Male,2025-02-18T15:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Male,2025-02-18T16:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Male,2025-02-19T10:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Male,2025-02-19T11:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Male,2025-02-19T12:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Male,2025-02-19T13:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Male,2025-02-19T15:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Female,2025-02-18T09:00:00Z,12
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Female,2025-02-18T10:00:00Z,5
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Female,2025-02-18T11:00:00Z,2
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Female,2025-02-18T12:00:00Z,2
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Female,2025-02-18T13:00:00Z,2
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Female,2025-02-18T14:00:00Z,1
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Female,2025-02-18T15:00:00Z,1
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Female,2025-02-18T16:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Female,2025-02-19T10:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Female,2025-02-19T11:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Female,2025-02-19T12:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Female,2025-02-19T13:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Female,2025-02-19T15:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Male,2025-02-18T09:00:00Z,6
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Male,2025-02-18T10:00:00Z,6
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Male,2025-02-18T11:00:00Z,1
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Male,2025-02-18T12:00:00Z,1
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Male,2025-02-18T13:00:00Z,1
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Male,2025-02-18T14:00:00Z,1
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Male,2025-02-18T15:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Male,2025-02-18T16:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Male,2025-02-19T10:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Male,2025-02-19T11:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Male,2025-02-19T12:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Male,2025-02-19T13:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Male,2025-02-19T15:00:00Z,0
Gayley Heights,GH,2 Bd/6 Person,Apartment,Female,2025-02-18T09:00:00Z,396
Gayley Heights,GH,2 Bd/6 Person,Apartment,Female,2025-02-18T10:00:00Z,384
Gayley Heights,GH,2 Bd/6 Person,Apartment,Female,2025-02-18T11:00:00Z,364
Gayley Heights,GH,2 Bd/6 Person,Apartment,Female,2025-02-18T12:00:00Z,336
Gayley Heights,GH,2 Bd/6 Person,Apartment,Female,2025-02-18T13:00:00Z,205
Gayley Heights,GH,2 Bd/6 Person,Apartment,Female,2025-02-18T14:00:00Z,47
Gayley Heights,GH,2 Bd/6 Person,Apartment,Female,2025-02-18T15:00:00Z,26
Gayley Heights,GH,2 Bd/6 Person,Apartment,Female,2025-02-18T16:00:00Z,9
Gayley Heights,GH,2 Bd/6 Person,Apartment,Female,2025-02-19T10:00:00Z,0
Gayley Heights,GH,2 Bd/6 Person,Apartment,Female,2025-02-19T11:00:00Z,0
Gayley Heights,GH,2 Bd/6 Person,Apartment,Female,2025-02-19T12:00:00Z,0
Gayley Heights,GH,2 Bd/6 Person,Apartment,Female,2025-02-19T13:00:00Z,0
Gayley Heights,GH,2 Bd/6 Person,Apartment,Female,2025-02-19T15:00:00Z,0
Gayley Heights,GH,2 Bd/6 Person,Apartment,Gender Inclusive,2025-02-18T09:00:00Z,30
Gayley Heights,GH,2 Bd/6 Person,Apartment,Gender Inclusive,2025-02-18T10:00:00Z,20
Gayley Heights,GH,2 Bd/6 Person,Apartment,Gender Inclusive,2025-02-18T11:00:00Z,4
Gayley Heights,GH,2 Bd/6 Person,Apartment,Gender Inclusive,2025-02-18T12:00:00Z,2
Gayley Heights,GH,2 Bd/6 Person,Apartment,Gender Inclusive,2025-02-18T13:00:00Z,1
Gayley Heights,GH,2 Bd/6 Person,Apartment,Gender Inclusive,2025-02-18T14:00:00Z,1
Gayley Heights,GH,2 Bd/6 Person,Apartment,Gender Inclusive,2025-02-18T15:00:00Z,1
Gayley Heights,GH,2 Bd/6 Person,Apartment,Gender Inclusive,2025-02-18T16:00:00Z,0
