Building,Abbreviation,RoomType,BuildingType,Gender,2025-02-18 09:00:00,2025-02-18 10:00:00,2025-02-18 11:00:00,2025-02-18 12:00:00,2025-02-18 13:00:00,2025-02-18 14:00:00,2025-02-18 15:00:00,2025-02-18 16:00:00,2025-02-19 10:00:00,2025-02-19 11:00:00
Sproul Hall,SPR,Classic Triple,Dorm,Gender Inclusive,51,51,51,51,48,41,41,41,38,38
Sproul Hall,SPR,Classic Triple,Dorm,Male,369,360,359,356,353,353,351,351,349,349
Sproul Landing / Cove,SLC,Deluxe Triple,Dorm,Female,597,569,547,510,492,485,475,472,457,432
Sproul Landing / Cove,SLC,Deluxe Triple,Dorm,Gender Inclusive,45,40,37,37,37,28,19,16,16,13
Sproul Landing / Cove,SLC,Deluxe Triple,Dorm,Male,363,348,331,314,282,277,266,265,256,249
Sunset Village,SV,Plaza Triple/Private Bath,Dorm,Female,507,504,501,492,489,476,464,461,454,449
Sunset Village,SV,Plaza Triple/Private Bath,Dorm,Gender Inclusive,39,39,39,39,39,39,39,39,30,30
Sunset Village,SV,Plaza Triple/Private Bath,Dorm,Male,309,306,302,294,294,285,284,284,282,266
Sunset Village,SV,Plaza Triple/Shared Bath,Dorm,Female,456,456,456,456,444,442,442,442,437,429
Sunset Village,SV,Plaza Triple/Shared Bath,Dorm,Gender Inclusive,36,36,36,36,36,36,36,36,36,30
Sunset Village,SV,Plaza Triple/Shared Bath,Dorm,Male,282,282,282,282,282,279,278,278,278,277
